urun_adi,fiyat
"NEW HP 14"" Intel N150 3.6GHz Turbo 4GB RAM 128GB SSD Windows 11 + MS Office 365",8025.277049999999
Dell Latitude 3410 Laptop 14” Core i3 8GB RAM 256GB SSD Windows 11 Pro HDMI,8026.13103
"Dell laptop Latitude 7480 14"" I5-6Gen 16GB 256GB SSD Win 11 Pro WIFI",8065.414109999999
"Dell Latitude E5450 Model Windows Sistemli İ5 4 Nesil 8 Gb Ram 128 Gb Ssd İntel Graphics Slim NotebookEn Ucuz8.074,05 TLTEK FİYAT",8074.05
"Dell E5470 I5-6300U İşlemci 8 Gb Ram 256 Gb Ssd 14"" EkranEn Ucuz8.100,00 TLTEK FİYAT",8100.0
"~CD/DVD BURNER~ 14"" HP ProBook Laptop PC: Intel i5! 16GB RAM - 256GB SSD! Win 10",8101.70826
"【90% New】ACEMAGIC 15.6"" Laptop Intel 12th Alder Lake N95 16GB RAM 512GB WIFI BT",8111.52903
Dell Latitude 5420 | Core i5-1135G7 | 16GB | 256GB NVMe | Win11P | Battery 8X% A,8111.52903
"[90% NEW] ACEMAGIC 15.6"" Laptop Intel N97 16GB DDR4 RAM 512GB SSD WIFI win11 Pro",8112.38301
"Dell Latitude 5320 13.3"" i5-1145G7  16GB 256GB WIN 11 Excellent",8112.38301
"Lenovo IdeaPad Slim 3 15IAN8 82XB009GTX N100 4 GB 128 GB UHD Graphics 15.6"" Full HD NotebookEn Ucuz8.198,00 TLTEK FİYAT",8198.0
Dell Latitude Laptop Computer 14” HD Intel Core 16GB RAM 256GB SSD Win 11 WiFi,8295.13473
"Hometech Alfa 720C N4020C 4 GB 128 GB SSD UHD Graphics 600 15.6"" NotebookEn Ucuz8.299,00 TL+8 FİYATÜrüne Git (+8)10+ alarm",8299.0
"Hometech Alfa 720C N4020C 4 GB 128 GB SSD UHD Graphics 600 15.6"" NotebookEn Ucuz8.299,00 TL+7 FİYATÜrüne Git (+7)10+ alarm",8299.0
"HP EliteBook 845 G7 Laptop Ryzen 5 PRO 4650U 16 GB DDR4 256 GB SSD W11P, Radeon",8311.360349999999
LG Gram 14” 14ZT90P-G.AX33U1 Laptop i3-1115G4 8GB 256GB - No Operating System,8326.305
