itemId,title,price,currency,condition,conditionId,category,categoryId,imageUrl,sellerUsername,sellerFeedback,sellerPositivePercent,itemLocation,shippingPrice
v1|266791101115|0,HP X360 11 G3 11.6” Touchscreen Laptop Intel 4GB RAM 64GB SSD Windows 11 Pro PC,5350.1847,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/sc4AAeSwedNpJphC/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|236439330055|536984947226,"2025 SGIN Laptop 17.3 inch, Intel N5095, Up to 12GB RAM &512GB SSD",12381.856020000001,USD,New,1000,,,https://i.ebayimg.com/images/g/Gp8AAeSwNxZpCwls/s-l225.jpg,sgin_shop,3351,,US,0.0
v1|227073187963|526227736725,DELL Latitude Laptop Computer PC 14 Core i5 32GB 1TB SSD Windows 11 TOUCHSCREEN!,14090.24301,USD,Used,3000,,,https://i.ebayimg.com/images/g/fswAAeSwjjFpFRbb/s-l225.jpg,laptopcaretx,4643,,US,0.0
v1|116459653713|0,"HP ELITEBOOK 745 G6 14"" AMD Ryzen 7 3700U 2.30GHz 16GB RAM 256GB NVMe",7044.90801,USD,Used,3000,,,https://i.ebayimg.com/images/g/XFYAAOSwoO5nl~7X/s-l225.jpg,wastecom,10192,,US,0.0
v1|315930543145|0,CHUWI 10.51'' MiniBook X  Windows 11 Laptop LPDDR5 12GB 512GB SSD Intel N100,11955.72,USD,New,1000,,,https://i.ebayimg.com/images/g/c00AAOSwHiBna9pe/s-l225.jpg,chuwitech,38,,US,0.0
v1|286101111453|0,Dell Latitude Laptop Computer 14” HD Intel Core 16GB RAM 256GB SSD Win 11 WiFi,8295.13473,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/53YAAeSwwWFpOQ1g/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|177613374516|0,"HP EliteBook 845 G7 Laptop Ryzen 5 PRO 4650U 16 GB DDR4 256 GB SSD W11P, Radeon",8311.360349999999,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/A-IAAeSwKpxpP-NS/s-l225.jpg,renew4me,3274,,US,0.0
v1|126834350335|0,"Getac V110 G3 11.6"" Touch Laptop i5-6200U 2.3GHz 8GB 128GB SSD W10",5764.365,USD,Used,3000,,,https://i.ebayimg.com/images/g/BEMAAOSwvaxnYGB1/s-l225.jpg,tekbuff,12494,,US,0.0
v1|177638758520|0,HP EliteBook 845 G8 Gaming Laptop Ryzen 5 PRO 5650U 16GB 256GB Windows 11 Pro,10674.32301,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/J3cAAeSwbZNpP68a/s-l225.jpg,renew4me,3274,,US,0.0
v1|376539781758|0,Lenovo N23 Chromebook Intel Celeron 1.60 GHz 4GB Ram 16GB eMMC,1494.03801,USD,Used,3000,,,https://i.ebayimg.com/images/g/6NEAAeSwAdVowP~2/s-l225.jpg,szirious,141,,US,0.0
v1|277535428189|0,Acer Nitro V16S Laptop AMD Ryzen 7 GeForce RTX 5060 16GB RAM 1TB SSD Refurbished,37992.289229999995,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/BnIAAeSw8MlpJzZY/s-l225.jpg,acer,92044,,US,0.0
v1|285872318366|0,"Dell Latitude 3120 11.6"" Touch 2in1 Laptop Intel 8GB RAM 128GB SSD Win 11 Pro",5550.44301,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/w8sAAeSwsYppOqFD/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|116362974438|416630758129,"2025 HP Touch Laptop 15.6"" 10-Core Intel i7, Up to 64GB RAM & 2TB SSD, Win11 Pro",35397.471,USD,New,1000,,,https://i.ebayimg.com/images/g/OqwAAOSwLJFoSddD/s-l225.jpg,hellogoodlife1,17816,,US,0.0
v1|277352801036|0,Acer Predator Helios Neo 16S Gaming Laptop RTX 5070 Ti 32GB RAM 1TB Refurbished,58582.60101,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/z7IAAeSwrbhpHJ4v/s-l225.jpg,acer,92044,,US,0.0
v1|335462459953|0,"Windows 7 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HD DVD/CD",4227.201,USD,Used,3000,,,https://i.ebayimg.com/images/g/L-kAAOSwyERmfuqK/s-l225.jpg,ticktock1-2-3,52795,,US,0.0
v1|116710871709|0,"14"" DELL Latitude Laptop: Intel i5! 4GB RAM! 128GB SSD! Zorin Core Edition!",4901.41821,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/U8UAAeSwbNFpH2Pt/s-l225.jpg,rinuvo,10364,,US,0.0
v1|236290001306|536857435217,SGIN 15.6/17.3 inch Laptop 128GB 256GB 512GB SSD Intel Celeron WIFI Windows 11,8539.37301,USD,New,1000,,,https://i.ebayimg.com/images/g/TyIAAeSw1IlorDNl/s-l225.jpg,sgin_shop,3351,,US,0.0
v1|335720448847|545235094598,"Dell 15.6"" Touchscreen Laptop Windows 11 Intel Core i5 4.40 GHz 64GB RAM 4TB SSD",15115.446,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/TLAAAeSwww5pHMEJ/s-l225.jpg,aaa_pcs,6720,,US,0.0
v1|388980740793|0,"Dell Latitude 5430 (14"", 16GB, 256GB SSD, i7-1265U 1.8GHz) Win11P, Gray",11486.030999999999,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/ehAAAeSw3-FoyxWi/s-l225.jpg,wisetekmarket-ca,7319,,US,0.0
v1|277263128385|0,"Acer Aspire 14"" AI Copilot PC Laptop Intel Ultra 5 32GB RAM 1TB SSD Refurbished",19470.31701,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/TQgAAeSwdCVpK2Uu/s-l225.jpg,acer,92044,,US,0.0
v1|226052371811|0,"Lenovo ThinkPad T480 14"" HD i5 8250u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop",11955.29301,USD,Excellent - Refurbished,2010,,,https://i.ebayimg.com/images/g/rIwAAOSwkxVkTFbY/s-l225.jpg,kl0,49479,,US,0.0
v1|256704364915|0,Acer Predator Helios Neo 14 Gaming Notebook Intel Ultra7 GeForceRTX4070 16GB 1TB,32640.396569999997,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/ybQAAeSw-5xpIKCh/s-l225.jpg,acer,92044,,US,0.0
v1|226752686660|525914977060,"Apple Macbook Air 13"" Laptop - i5 8GB RAM 256GB SSD - MacOS Big Sur - Warranty",5081.181,USD,Used,3000,,,https://i.ebayimg.com/images/g/oq8AAeSwxE5pK34t/s-l225.jpg,cntelectronicinc,6951,,US,0.0
v1|115930175001|0,Intel Computer NUC PC Mini 1 TB 8GB i5-8265U 8th gen workstation Desktop Win 10,6185.8041299999995,USD,New,1000,,,https://i.ebayimg.com/images/g/rmoAAOSwZhloOdg~/s-l225.jpg,whiteskybluestars,3670,,US,0.0
v1|326805824949|0,"Lenovo Slim 7i 14"" WUXGA OLED Touch Aura Edition Ultra 7 258V 32GB RAM 1TB SSD",29846.601,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/3j4AAeSwVuBpJ-aY/s-l225.jpg,new.techies,19265,,US,0.0
v1|267477985946|0,"Acer Swift Go 16"" Laptop OLED Intel Core Ultra 9 285H 32GB 1TB SSD Refurbished",35653.23801,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/rh4AAeSwugppG3Qm/s-l225.jpg,acer,92044,,US,0.0
v1|116238451550|0,"15.6"" HP Laptop: AMD Processor! 8GB RAM ~ 256GB SSD! Zorin Core Edition!",5762.230049999999,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/K-AAAeSw4VlpPDFG/s-l225.jpg,rinuvo,10364,,US,0.0
v1|326645188235|0,"HP - 14"" Laptop - Intel Processor N150 2025 - 4GB Memory - 128GB UFS - Natura...",8539.37301,USD,New,1000,,,https://i.ebayimg.com/images/g/r28AAeSwwLBpOVFl/s-l225.jpg,best_buy,909688,,US,0.0
v1|256696970110|0,"Acer 16"" Chromebook Plus 516 Gaming Intel i5 120U 8GB RAM 256GB SSD Refurbished",11442.90501,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/iQYAAeSwSqVpJNql/s-l225.jpg,acer,92044,,US,0.0
v1|336247711005|545787391402,"Dell 15.6"" Touchscreen Light Gaming Laptop Intel Core 4.40GHz 64GB RAM 4TB SSD",14731.154999999999,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/Or0AAeSwL9ppHME5/s-l225.jpg,aaa_pcs,6720,,US,0.0
v1|297733605953|0,"HP ProBook x360 11 G2  11.6"" Touchscreen, i5, 8GB, 128GB SSD **See Description**",2049.5519999999997,USD,Used,3000,,,https://i.ebayimg.com/images/g/aXMAAOSw38tmzL2e/s-l225.jpg,hawk_line,35229,,US,0.0
v1|256520136672|0,"Dell Latitude 3330 Laptop 2-in-1 Touch 13.3"" Core i5 8GB RAM 256GB SSD Win 11",9132.889109999998,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/gdUAAeSwAiBpOQ~q/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|389121553183|0,"Dell Latitude 5320 13.3"" 512GB I7-1185G7 WIN11P, Gray",11571.429,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/hCkAAeSw245o9mkc/s-l225.jpg,wisetekmarket-ca,7319,,US,0.0
